casa_artesania_id,casa_artesania_nombre,casa_artesania_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,casa_artesania_calle_numero,casa_artesania_colonia,casa_artesania_cp,casa_artesania_telfono1,casa_artesania_pagina_web,email,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
21,"Tienda Permanente del Museo Nacional de Antropología","Secretaría de Cultura/INAH",9,"Ciudad de México",16,"Miguel Hidalgo",1,"Miguel Hidalgo","Av. Paseo de la Reforma s/n","Col. Polanco Chapultepec","11560","","","",-99.18588,19.42581,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=21","2017-10-17 14:20:05-05"
228,"Casa de Artesanías Uriarte Talavera, Sucursal Polanco","Arte en Talavera Casas y Uriarte, S.A. de C.V.",9,"Ciudad de México",16,"Miguel Hidalgo",1,"Miguel Hidalgo","Galileo 67-A","Col. Polanco","11550","","","polanco@uriartetalavera.com.mx ",-99.19266,19.43121,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=228","2017-05-12 07:26:23-05"
158,"Tienda del Museo de Arte Popular, Sucursal Polanco","Secretaría de Cultura Federal, Gobierno de la Ciudad de México, Asociación de Amigos del MAP",9,"Ciudad de México",16,"Miguel Hidalgo",1,"Miguel Hidalgo","Emilio Castelar 22 esq. Temístocles","Col. Polanco Chapultepec","11560","","","tiendadelmap@gmail.com; direccion2@tiendamap.com.mx; karen.torres@tiendamap.com.mx",-99.19253,19.42916,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=158","2018-03-21 12:14:16-06"
119,"Tienda Casa Chiapas AICM-T1","Gobierno del Estado, Instituto Casa Chiapas",9,"Ciudad de México",17,"Venustiano Carranza",1,"Venustiano Carranza","Aeropuerto Internacional de la Ciudad de México Terminal 1<br> Av. Cap. Carlos León s/n entre las Salas de Abordar 13 y 14","Col. Peñon de los Baños","15620","","","tiendaaicm@gmail.com",-99.08497,19.43422,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=119","2015-06-03 13:59:35-05"
198,"Tienda de Artesanías del Fonart, Tienda Galerías 2 Aeropuerto Internacional de la Ciudad de México","Fondo Nacional para el Fomento de las Artesanías",9,"Ciudad de México",17,"Venustiano Carranza",1,"Venustiano Carranza","Av. Fuerza Aerea Mexicana s/n local IS-18 Sala de última espera internacional de la terminal 2 ","Col. Peñón de los Baños","15620","","","http://www.fonart.gob.mx",-99.07831,19.42379,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=198","2020-12-08 07:27:52-06"
58,"Casa de Artesanías Tlacuhilos","Universidad Juárez del Estado de Durango",10,"Durango",5,"Durango",1,"Victoria de Durango","Int. del Kiosco, Av. 20 de noviembre s/n, frente a la Catedral","Centro Histórico","34000","","","escueladepintura@yahoo.com.mx",-104.67026,24.024,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=58","2017-03-21 12:41:04-06"
56,"Tienda de Artesanías","DIF",11,"Guanajuato",15,"Guanajuato",1,"Guanajuato","Carr. Antigua a Marfil Km. 2.5<br>Ex-Hacienda San Gabriel de Barrera","Col. Marfil","36250","","","laralicornejo@yahoo.com.mx",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=56","2010-06-21 14:34:12-05"
57,"Tienda de Artesanías Casa del Conde de la Valenciana","Casa Conde Valenciana, S.A. de C.V.",11,"Guanajuato",15,"Guanajuato",1,"Guanajuato","Barberos s/n","Col. Valenciana","36240","","","casacondevalenciana@hotmail.com",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=57","2009-02-12 11:02:18-06"
199,"Artesanías Casa Museo Gene Byron","Consejo de la Casa Museo Gene Byron, A.C.",11,"Guanajuato",15,"Guanajuato",1,"Guanajuato","Real de Marfil s/n, Ex Hacienda de Santa Ana","Col. Marfil","36251","","","museogenebyron@gmail.com",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=199","2013-03-25 20:26:28-06"
183,"Misin Cultura Núm. 62","Ayuntamiento de San Jerónimo",12,"Guerrero",14,"Benito Juárez",1,"San Jerónimo de Juárez","Plaza Galeana s/n","Centro"," 40960","","","",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=183","2015-09-22 09:42:17-05"
187,"Arte Artesanías y Decoración Rosy","Particular",12,"Guerrero",35,"Iguala de la Independencia",1,"Iguala de la Independencia","Av. Vicente Guerrero 78 B","Centro","4000","","","centroculturaltiempoyespacio@yahoo.com",-99.53429,18.3438,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=187","2014-07-08 11:26:44-05"
212," Lupita¨s Boutique","",12,"Guerrero",38,"Zihuatanejo de Azueta",1,"Zihuatanejo","Calle Juan Alvarez  núm.5-A","Centro","40880","","","lupita@zihuatanejo.net",-101.55674,17.63889,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=212","2014-07-03 13:20:16-05"
182,"Arte Mexicano Nopal","",12,"Guerrero",38,"Zihuatanejo de Azueta",1,"Zihuatanejo","Av. 5 de Mayo 56","Centro","40880","","","rmonge@live.com.mx",-101.55881,17.63914,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=182","2021-07-16 10:25:45-05"
177,"Fruity Keiko Galería y tienda","particular",12,"Guerrero",38,"Zihuatanejo de Azueta",1,"Zihuatanejo","Vicente Guerrero 5-A","Centro","40880","","","",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=177","2014-07-03 11:57:37-05"
181,"Artesanias Sánchez","particular",12,"Guerrero",66,"Tlapa de Comonfort",1,"Tlapa de Comonfort","Morelos núm.123 B ","Centro","","","","",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=181","2017-05-02 12:22:50-05"
59,"Tienda Artesanal ","Gobierno del Estado, Secretaría de Desarrollo Social, Fomento Artesanal",13,"Hidalgo",48,"Pachuca de Soto",1,"Pachuca de Soto","Av. Juárez s/n  esq. Vicente Segura","Col. Periodistas","42060","","","araceli.islas@live.com.mx; irmafhuitron@hotmail.com",-98.74604,20.11604,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=59","2016-12-08 15:06:26-06"
40,"Casa de las Artesanías<br>Sucursal Ajijic","Instituto de la Artesanía Jalisciense",14,"Jalisco",30,"Chapala",2,"Ajijic","Km. 6.5, Carr. Jocotepec-Chapala ","Col. La Floresta","45920","","","rene.carrillo@artesaniasjalisco.gob.mx",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=40","2015-02-10 11:50:22-06"
60,"Casa de las Artesanías<br>Sucursal Guadalajara","Instituto de la Artesanía Jalisciense",14,"Jalisco",39,"Guadalajara",1,"Guadalajara","Calz. González Gallo 20 ","Col. Rincón del Agua Azul","44180","","","rene.carrillo@artesaniasjalisco.gob.mx",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=60","2015-02-10 12:07:16-06"
203,"Artesanías Finas de Teocaltiche","José Antonio Delgadillo",14,"Jalisco",91,"Teocaltiche",1,"Teocaltiche","Ramón Corona 5","Centro","47200","","","",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=203","2014-02-21 10:37:42-06"
137,"Tienda de Artesanías IAIP<br>Sucursal Tlaquepaque","Gobierno del Estado de Puebla/Instituto de Artesanías e Industrias Populares del Estado de Puebla",14,"Jalisco",98,"San Pedro Tlaquepaque",1,"Tlaquepaque","Independencia 170","Centro","45604","","","iaip@puebla.gob.mx<br>yoyis.b@hotmail.com",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=137","2010-03-31 08:44:02-06"
120,"Casa de las Artesanías<br>Sucursal Tlaquepaque","Instituto de la Artesanía Jalisciense",14,"Jalisco",98,"San Pedro Tlaquepaque",1,"Tlaquepaque","Independencia 237","Centro","45500","","","rene.carrillo@artesaniasjalisco.gob.mx",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=120","2015-02-10 12:08:18-06"
33,"Casa de los Artesanos de Tonalá","Ayuntamiento de Tonalá",14,"Jalisco",101,"Tonalá",1,"Tonalá","Av. Rio Nilo 8096","Col. Loma Dorada","45400","","","casadeartesanias@gmail.com",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=33","2010-03-31 08:50:38-06"
162,"Casa de Artesanías de Acambay","Ayuntamiento de Cambay",15,"México",1,"Acambay de Ruíz Castañeda",41,"San Ildefonso (San Ildefonso Yolotepec)","Camino a San Indelfonso Yolotepec","Carr. Panamericana","50300","","","difeducacion_acambay@live.com.mx",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=162","2021-08-09 08:52:22-05"
175,"Casa de Artesanías de Huxquilucan","Gobierno del Estado de México/Instituto de Investigacíon y Fomento de las Artesanías del Estado de México",15,"México",37,"Huixquilucan",1,"Huixquilucan de Degollado","Centro Comercial Interlomas<br>Av. Magnocentro 5, sub-ancla 17","San Fernando la Herradura","52563","","","artesanias@edomex.gob.mx",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=175","2010-03-17 14:50:05-06"
167,"Casa de Artesanías Santa María Rayón","H. Ayuntamiento de Rayón",15,"México",72,"Rayón",1,"Santa María Rayón","Carretera Toluca-Tenango kilómetro 175","Carretera Toluca-Tenango kilómetro 175","50640","","","",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=167","2010-03-22 13:22:41-06"
37,"Casa de Artesanías","Secretaría de Turismo y Desarrollo Artesanal/Instituto de Investigación y Fomento de las Artesanías del Estado de México",15,"México",106,"Toluca",1,"Toluca de Lerdo","Tollocan 77 esq. Urawa","Col. Ipiem","50150","","","artesanias@mail.edomex.gob.mx",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=37","2009-02-12 10:36:45-06"
173,"Casa de Artesanías del Aeropuerto Internacional del Estado de Toluca","Gobierno del Estado de México/Instituto de Investigacíon y Fomento de las Artesanías del Estado de México",15,"México",106,"Toluca",1,"Toluca de Lerdo","Int. del Aeropuerto Internacional del Estado de Toluca frente a llegadas Nacionales","Col. San Pedro Totoltepec","50155","","","artesanías@edomes.gob.mx",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=173","2020-12-08 07:28:45-06"
168,"Tienda Casart Toluca","Instituto de Investigación y Fomento de las Artesanías del Estado de México (IIFAEM)",15,"México",106,"Toluca",1,"Toluca de Lerdo","Paseo Tollocan 700 ","Col. Izcalli IPIEM","50150","","","dgiifaem@edomex.gob.mx",-99.66196,19.27336,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=168","2021-09-24 11:39:48-05"
172,"Casa de Artesanías de Toluca","Gobierno del Estado de México/Instituto de Investigacíon y Fomento de las Artesanías del Estado de México",15,"México",106,"Toluca",1,"Toluca de Lerdo","Paseo Tollocan 700 Oriente","Col. Izcalli IPIEM","50150","","","artesanias@edomex.gob.mx",-99.63709,19.28366,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=172","2010-03-17 14:54:12-06"
169,"Parián de Artesanías","Dir. Gral. de Des. Económico y Regulacion Del Comercio  del H. Ayunt. de Toluca",15,"México",106,"Toluca",1,"Toluca de Lerdo","Plaza Fray andrés de Castro, edificio B planta baja, local número 12","Centro","","","","jalilan04@hotmail.com",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=169","2010-03-22 14:55:14-06"
170,"Centro Artesanal Toluca","Particular",15,"México",106,"Toluca",1,"Toluca de Lerdo","Independecia, número 502","Centro","","","","anarebminiart@live.com.mx",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=170","2010-03-22 14:57:21-06"
32,"Tienda Casart Valle de Bravo","Secretaría de Turismo y Desarrollo Artesanal/Instituto de Investigación y Fomento de las Artesanías del Estado de México",15,"México",110,"Valle de Bravo",1,"Valle de Bravo","Int. Centro Regional de Cultura Joaquín Arcadio Pagaza, Fray Gregorio Jiménez de la Cuenca s/n","Barrio Santa María Ahuacatlán","51200","","","",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=32","2017-03-27 12:50:30-06"
174,"Casa de Artesanías de Valle de Bravo","Gobierno del Estado de México/Instituto de Investigacíon y Fomento de las Artesanías del Estado de México",15,"México",110,"Valle de Bravo",109,"Tres Puentes","Fray Gregorio Jiménez de la Cuenca s/n","Col. Santa María Ahuacatlán","52560","","","artesanias@edomex.gob.mx",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=174","2021-08-02 07:15:45-05"
171,"Casa Artesanal Artesanos de Zumpahuacan","H. Ayuntamiento de Zumpahuacan",15,"México",119,"Zumpahuacán",1,"Zumpahuacán","Benito Juárez, número 1","Barrio La Cabecera","","","","garcia.1984@hotmail.com",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=171","2010-03-22 15:44:56-06"
165,"Casa de la Cultura de Angamacutiro","Ayuntamiento de Angamacutiro",16,"Michoacán de Ocampo",4,"Angamacutiro",1,"Angamacutiro de la Unión","Prolog. Aldama 44 ","Col. Morelos","58550 ","","","",0,0,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=165","2014-02-17 11:27:18-06"
7,"Casa de las Artesanías del Estado de Michoacán","Gobierno del Estado de Michoacán",16,"Michoacán de Ocampo",53,"Morelia",1,"Morelia","Fray Juan de San Miguel 129 esq. Humboldt","Centro","58000","","","casart@michoacan.gob.mx; rafael.paz@michoacan.gob.mx",-101.18878,19.70136,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=7","2017-03-21 12:44:45-06"
128,"Comercializadora Artesanal de Quiroga","Privada",16,"Michoacán de Ocampo",73,"Quiroga",1,"Quiroga","Vasco de Quiroga 150","Centro","58420","","","maxico1987@hotmail.com",-101.52479,19.66148,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=128","2017-03-03 07:54:36-06"
25,"Tienda del Artesano Morelense","Instituto de Cultura de Morelos",17,"Morelos",7,"Cuernavaca",1,"Cuernavaca","Av. Morelos 271","Centro","62000","","","martha_lopez@institutodeculturademorelos.gob.mx; ortegmontan@hotmail.com",-99.23794,18.92096,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=25","2011-12-20 11:29:42-06"
223,"Tienda de artesanías Tateima","DIF Estatal/Coordinación de Fomento a las Artesanías",18,"Nayarit",17,"Tepic",1,"Tepic","Av. México s/n ","Centro","63000","","","artesanias_difnay@hotmail.com",-104.89336,21.50758,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=223","2015-02-23 10:10:56-06"
91,"Plaza comercial y cultura de las etnias","Artesanos de las Etnias, A.C.",20,"Oaxaca",67,"Oaxaca de Juárez",1,"Oaxaca de Juárez","García Vigil 304","Centro","68000","","","plazalasetnias@hotmail.com.cordova",-96.72,17.06778,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=91","2018-05-30 12:14:11-05"
42,"Casa de Artesanías del Instituto Oaxaqueño de las Artesanías","Gobierno del Estado de Oaxaca/Instituto Oaxaqueño de las Artesanías",20,"Oaxaca",67,"Oaxaca de Juárez",1,"Oaxaca de Juárez","García Vigil 809","Centro","68000","","","ioa@e-oaxaca.gob.mx",-96.72755,17.0832,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=42","2018-05-29 14:39:01-05"
87,"Casa de las Artesanías de Oaxaca","Maestros Oaxaqueños del Arte Popular, A.C.",20,"Oaxaca",67,"Oaxaca de Juárez",1,"Oaxaca de Juárez","Matamoros 105","Centro","68000","","","inforarte@casadelasartesanias.com.mx",-96.71228,17.07844,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=87","2018-05-29 12:47:15-05"
86,"Mujeres Artesanas de las Regiones de Oaxaca","María Aurora Martínez Ríos",20,"Oaxaca",67,"Oaxaca de Juárez",1,"Oaxaca de Juárez","Calle 5 de mayo 204","Centro","6800","","","mujeres_artesanas@yahoo.com.mx",-96.7085,17.07615,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=86","2018-05-30 10:58:56-05"
88,"Mercado de Artesanías de Oaxaca","Ayuntamiento del Estado de Oaxaca",20,"Oaxaca",67,"Oaxaca de Juárez",1,"Oaxaca de Juárez","J. P. García s/n esq. Zararagoza","Centro","68000","","","",-96.7224,17.07024,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=88","2018-05-30 10:42:06-05"
121,"Casa de Artesanías Maprotierra","Maestros Oaxaqueños del Arte Popular, A.C.",20,"Oaxaca",67,"Oaxaca de Juárez",1,"Oaxaca de Juárez","Matamoros 105-A","Centro","68000","","","maestros@casadelasartesanias.com.mx",-96.71674,17.09091,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=121","2018-05-28 13:17:20-05"
90,"Productos Típicos Mexicanos","María del Carmen Ruiz Villegas",20,"Oaxaca",67,"Oaxaca de Juárez",1,"Oaxaca de Juárez","Av. Belisario Dominguez 602","Col. Reforma","68050","","","",-96.72446,17.08911,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=90","2018-05-30 12:27:51-05"
206,"Casa del Artesano Senen Mexic (Acatlán de Osorio)","Asociación de Artesanos, A.C.",20,"Oaxaca",67,"Oaxaca de Juárez",1,"Oaxaca de Juárez","Av. Juárez  8","Centro","74949","","","",-96.72528,17.05999,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=206","2021-04-10 10:13:39-05"
245,"FÁBRICA DE VIDRIO LA LUZ","",21,"Puebla",0,"",0,"","3 Ote, 1018 ","Analco ","72000","","","fabrica_laluz@hotmail.com.mx",-98.19215,19.04045,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=245","2018-08-14 06:55:19-05"
247,"Talavera Celia","Consejo Regulador de la Talavera",21,"Puebla",0,"",0,"","Manzano 10","Arboledas de Guadalupe ","72260","","","taller@tiendatalaveracelia.com.mx",-98.17699,19.05651,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=247","2018-08-14 07:39:49-05"
251,"Talavera de la Luz","Talavera de La Luz, S.A ",21,"Puebla",0,"",0,"","Juan de Palafox y Mendoza 1413","Centro Historico","72000","","","contacto@talaveradelaluz.com.mx",-98.18964,19.03974,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=251","2018-08-14 08:29:30-05"
248,"TALAVERA ARMANDO","CONSEJO REGULADOR DE LA TALAVERA",21,"Puebla",0,"",0,"","6 Nte. 402","Centro","72000","","","armando@prodigy.com.mx",-98.19802,19.04373,"http://sic.gob.mx/ficha.php?table=casa_artesania&table_id=248","2018-08-14 07:15:46-05"
