teatro_id,teatro_nombre,teatro_fecha_fundacion,teatro_adscripcion,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,teatro_calle_numero,teatro_colonia,teatro_cp,teatro_telefono1,pagina_web,email,gmaps_longitud,gmaps_latitud,link_sic,fecha_mod
542,"Teatro de la Casa de Cultura de Cosío","1993-03-01","Instituto Cultural de Aguascalientes",1,"Aguascalientes",4,"Cosío",1,"Cosío","Madero Nte. 5","Centro","20460","458 987 09 59","http://www.aguascalientes.gob.mx/temas/cultura/Noticias/Convocatorias/didactica.aspx","informacion.ica@aguascalientes.gob.mx",-102.29747,22.36639,"http://sic.gob.mx/ficha.php?table=teatro&table_id=542","2021-10-28 07:32:03-05"
869,"Teatro Bicentenario","1000-01-01","Ayuntamiento de Pabellón de Arteaga",1,"Aguascalientes",6,"Pabellón de Arteaga",1,"Pabellón de Arteaga","Plutarco Elías Calles s/n","Centro","20670","465 958 19 76","","manuelalejandrosantana@municipio.gob.mx",-102.27675,22.14736,"http://sic.gob.mx/ficha.php?table=teatro&table_id=869","2022-02-16 16:35:46-06"
313,"Teatro de la Ciudad de Ensenada","1977-09-27","Instituto de Cultura de Baja California",2,"Baja California",1,"Ensenada",1,"Ensenada","Av. Diamante s/n","Fracc. Nueva Ensenada","22880","(646) 177 03 92","","",-116.60852,31.85503,"http://sic.gob.mx/ficha.php?table=teatro&table_id=313","2016-12-14 13:29:02-06"
874,"Foro Experimental del CEART/Ensenada","2007-07-31","CEART/Instituto de Cultura de Baja California",2,"Baja California",1,"Ensenada",1,"Ensenada","Blvd. Lázaro Cárdenas y Av. Club Rotario","Centro","22880","(646) 173 43 07","","",-116.61736,31.85707,"http://sic.gob.mx/ficha.php?table=teatro&table_id=874","2016-12-14 14:53:35-06"
320,"Teatro al Aire Libre Riviera","1998-04-24","Centro Cultural Riviera de Ensenada",2,"Baja California",1,"Ensenada",1,"Ensenada","Blvd. Lázaro Cárdenas y Av. Riviera s/n","Centro","22800","(646) 176 43 10","http://rivieradeensenada.com.mx/espacios/","director@rivieradeensenada.com.mx",-116.61835,31.85818,"http://sic.gob.mx/ficha.php?table=teatro&table_id=320","2018-05-09 16:09:19-05"
307,"Teatro Universitario Benito Juárez","1985-01-01","Universidad Autónoma de Baja California",2,"Baja California",1,"Ensenada",1,"Ensenada","Km. 103 carr. Tijuana-Ensenada, Guadalupe entre 2a y 4a","Col. Obrera","22880","(646) 176 28 50","","",-116.61493,31.86137,"http://sic.gob.mx/ficha.php?table=teatro&table_id=307","2016-12-14 12:37:22-06"
489,"Teatro del Estado","1977-10-01","Instituto de Cultura de Baja California",2,"Baja California",2,"Mexicali",1,"Mexicali","Av. Milton Castellanos esq. Blvd. Adolfo López Mateos 1112","Col. Industrial","21100","(686)  554 93 39 ext. 103","http://www.icbc.gob.mx","teatrodelestadobc@gmail.com",-115.47458,32.65482,"http://sic.gob.mx/ficha.php?table=teatro&table_id=489","2016-12-14 12:57:44-06"
321,"Teatro Maestro Antonio Salvador Caldera Adame","1974-01-01","Dirección Municipal de Cultura de Mexicali",2,"Baja California",2,"Mexicali",1,"Mexicali","Av. Madero s/n esq. Altamirano","Centro","21100","(686) 552 96 30 ","https://www.facebook.com/CasaDeLaCulturaDeMexicali","",-115.49096,32.66487,"http://sic.gob.mx/ficha.php?table=teatro&table_id=321","2017-06-21 10:56:06-05"
314,"Teatro Benito Juárez del CREA Cultura","1962-06-24","Instituto Municipal de Cultura de Mexicali",2,"Baja California",2,"Mexicali",1,"Mexicali","Salina Cruz 2050 ","Col. Guajardo","21150","686 555 12 30","","crea.cultura@gmail.com",-115.49831,32.64168,"http://sic.gob.mx/ficha.php?table=teatro&table_id=314","2022-02-16 16:36:54-06"
56,"Teatro Juan José Arreola","1982-01-01"," Colegio de Bachilleres - Plantel Mexicali, Organismo Descentralizado del Gobierno del Estado",2,"Baja California",2,"Mexicali",1,"Mexicali","Av.  Zaragoza 2045","Col. Nueva","21100","(686) 553 42 09","","",-115.45364,32.66257,"http://sic.gob.mx/ficha.php?table=teatro&table_id=56","2016-12-14 13:03:51-06"
152,"Teatro al Aire Libre del Centro Comunitario Estudiantil","1991-08-01","Universidad Autónoma de Baja California, Vicerrectoría",2,"Baja California",2,"Mexicali",1,"Mexicali","Blvd. Benito Juárez s/n","Unidad Universitaria Campus Mexicali","21280","(686) 566 0915","","",-115.44639,32.63261,"http://sic.gob.mx/ficha.php?table=teatro&table_id=152","2016-12-14 12:11:12-06"
525,"Teatro IMSS Mexicali","1959-01-01","Instituto Mexicano del Seguro Social (IMSS), (en comodato)",2,"Baja California",2,"Mexicali",1,"Mexicali","Av. Zaragoza s/n","Col. Nueva","21100","(686) 564 77 59","","teatro.mexicali@imss.gob.mx",-115.46804,32.66108,"http://sic.gob.mx/ficha.php?table=teatro&table_id=525","2017-05-25 12:33:28-05"
803,"Foro Experimental del CEART","2005-01-31","Instituto de Cultura de Baja California",2,"Baja California",2,"Mexicali",1,"Mexicali","Czda. de los Presidentes s/n esq. Ciudad Victoria","Zona del Río Nuevo","21150","(686) 553 69 51 ext. 139","http://www.icbc.gob.mx","ceartmexicali@hotmail.com",-115.48503,32.65064,"http://sic.gob.mx/ficha.php?table=teatro&table_id=803","2016-12-13 16:56:34-06"
147,"Teatro Universitario de Mexicali","1983-02-28","Universidad Autónoma de Baja California",2,"Baja California",2,"Mexicali",1,"Mexicali","Av. López Rayón s/n","Unidad Universitaria","21280","(686) 841 82 42","","salvador_teatro@uabc.edu.mx",-115.44472,32.63391,"http://sic.gob.mx/ficha.php?table=teatro&table_id=147","2016-08-25 08:30:51-05"
323,"Teatro al Aire Libre de Rectoría","1984-01-01","Universidad Autónoma de Baja California",2,"Baja California",2,"Mexicali",1,"Mexicali","Av. Álvaro Obregón y Julián Carrillo s/n","Col. Nueva","21100","(686) 552 59 21","","",-115.46976,32.66343,"http://sic.gob.mx/ficha.php?table=teatro&table_id=323","2016-12-15 12:25:05-06"
311,"Teatro al Aire Libre del Parque Margarita Maza de Juárez","1981-12-10","Dirección de Obras y Servicios Públicos",2,"Baja California",3,"Tecate",1,"Tecate","Calle 5a núm. 214 esq. Dr. Arturo Guerra","Col. Benito Juárez","21480","(665) 654 92 31","http://www.tecate.gob.mx","",-116.63105,32.55721,"http://sic.gob.mx/ficha.php?table=teatro&table_id=311","2016-12-15 12:07:08-06"
254,"Teatro Universitario de la Escuela de Artes Tecate","1988-04-27","Universidad Autónoma de Baja California (UABC)",2,"Baja California",3,"Tecate",1,"Tecate","Calz. Universidad 1","Fracc. San Fernando","21450","665 654 24 04","https://www.facebook.com/artestecate","brendartes@uabc.edu.mx",-116.62589,32.56887,"http://sic.gob.mx/ficha.php?table=teatro&table_id=254","2021-09-24 10:11:31-05"
287,"Teatro del Pueblo del Parque Adolfo López Mateos","1959-08-20","Ayuntamiento de Tecate/Dirección de Obras y Servicios Públicos Municipales",2,"Baja California",3,"Tecate",1,"Tecate","Blvd. Universidad esq. Av. Piedra del Sol","Col. Militar","21470","(665) 654 92 31","","",-116.62458,32.56914,"http://sic.gob.mx/ficha.php?table=teatro&table_id=287","2016-06-24 13:43:05-05"
961,"La Alborada Centro Cultural","1000-01-01","",2,"Baja California",4,"Tijuana",1,"Tijuana","Av. Aguascalientes 2380","Col. Madero (Cacho)","22040","664 383 9160","","alborada286@gmail.com",-117.03027,32.52022,"http://sic.gob.mx/ficha.php?table=teatro&table_id=961","2020-05-14 09:38:21-05"
316,"Teatro de la Casa de la Cultura de Tijuana","1977-10-19","Instituto Municipal de Arte y Cultura (IMAC)",2,"Baja California",4,"Tijuana",1,"Tijuana","Av. París 5","Col. Altamira","22000","(664) 687 26 04","","casaculturatijuana@hotmail.com",-117.05229,32.53191,"http://sic.gob.mx/ficha.php?table=teatro&table_id=316","2016-05-16 08:54:34-05"
709,"Teatro Cala-Fórnix","1977-05-30","Instituto Tecnológico de Tijuana (ITT)",2,"Baja California",4,"Tijuana",1,"Tijuana","Calz. Tecnológico s/n","Fracc. Tomás Aquino","22414","(664) 607 84 00 ext. 190","","ajavier876@gmail.com",-116.98796,32.53053,"http://sic.gob.mx/ficha.php?table=teatro&table_id=709","2016-10-19 12:38:40-05"
305,"Teatro IMSS Tijuana","1962-06-04","Instituto Mexicano del Seguro Social (IMSS)",2,"Baja California",4,"Tijuana",1,"Tijuana","Francisco Cárdenas s/n","Fracc. Aviación","22420","(664) 972 98 47 ext. 2855","https://www.facebook.com/pages/Teatro-IMSS-Tijuana/522699537844441","carlos.lopezta@imss.gob.mx",-117.00954,32.51483,"http://sic.gob.mx/ficha.php?table=teatro&table_id=305","2017-07-12 12:16:32-05"
488,"Sala de Espectáculos del CECUT","1985-06-27","Secretaría de Cultura/CECUT",2,"Baja California",4,"Tijuana",1,"Tijuana","Av. Paseo de los Héroes 9350","Zona Urbana Río Tijuana","22010","(664) 687 96 56","http://www.cecut.gob.mx/eespectaculos.php","teatrocecut@cecut.gob.mx",-117.02374,32.5306,"http://sic.gob.mx/ficha.php?table=teatro&table_id=488","2017-07-31 18:37:05-05"
991,"Teatro las Tablas","2004-01-01","",2,"Baja California",4,"Tijuana",1,"Tijuana","Unión 2191","Col. Zonaeste","22000","664 382 61 83","https://teatrolastablas.com/","info@teatrolastablas.com",-117.01891,32.53246,"http://sic.gob.mx/ficha.php?table=teatro&table_id=991","2021-12-07 09:00:46-06"
148,"Teatro Universitario Rubén Vizcaíno Valencia","1976-01-01","Universidad Autónoma de Baja California (UABC)",2,"Baja California",4,"Tijuana",1,"Tijuana","Calz. Universidad 14418","Parque Industrial Internacional Tijuana","22390","(664) 979 75 00","http://www.cecut.gob.mx/sis/teatros/uabc.php","tuopinion@uabc.mx , sandra@uabc.edu.mx",-116.96653,32.5307,"http://sic.gob.mx/ficha.php?table=teatro&table_id=148","2016-06-21 10:38:36-05"
873,"Foro Experimental del CEART Rosarito","2016-04-06","Instituto de Cultura de Baja California",2,"Baja California",5,"Playas de Rosarito",1,"Playas de Rosarito","Paseo de la Cascada s/n","Col. La Cascada","22701","(686) 553 69 51","","",-117.04113,32.30501,"http://sic.gob.mx/ficha.php?table=teatro&table_id=873","2016-12-15 10:56:57-06"
309,"Teatro al Aire Libre Profra. Rosaura Zapata Cano","1985-01-01","Instituto Sudcaliforniano de Cultura",3,"Baja California Sur",3,"La Paz",1,"La Paz","Navarro entre Altamirano y Héroes de Independencia","Centro","23000","(612) 125 02 07","","teatrolapaz@hotmail.com",-110.31801,24.14727,"http://sic.gob.mx/ficha.php?table=teatro&table_id=309","2016-12-16 10:33:07-06"
244,"Teatro al Aire Libre Ignacio García Tellez (En remodelación)","1962-06-07","Centro de Seguridad Social del IMSS",3,"Baja California Sur",3,"La Paz",1,"La Paz","Álvaro Obregón entre Héroes del 47 y Colegio Militar","Col. Esterito","23020","(612) 123 67 00 exts. 31184, 31139","","rafael.puppo@imss.gob.mx",-110.30713,24.17117,"http://sic.gob.mx/ficha.php?table=teatro&table_id=244","2016-12-16 11:13:54-06"
836,"Teatro-Espacio Angular Esterito","1979-12-01","Federación de Alianzas Francesas y Franco Mexicanas de México, A.C.",3,"Baja California Sur",3,"La Paz",1,"La Paz","Valentín Gomez Farias 525","Esterito","23070","(612) 122 28 88","http://www.alianzafrancesa.org.mx/La-Paz/TEATRO-ESPACIO-ANGULAR-ESTERITO","rubsando@uabcs.mx",-110.30307,24.16532,"http://sic.gob.mx/ficha.php?table=teatro&table_id=836","2016-05-19 11:19:50-05"
300,"Teatro Juárez","1910-09-15","Patronato de la Cultura de Baja California Sur, A.C.",3,"Baja California Sur",3,"La Paz",1,"La Paz","Belisario Domínguez s/n entre 16 de Septiembre e Independencia","Centro","23000","(612) 109 91 71","https://teatrojuarez.wordpress.com/en-los-medios/; https://www.facebook.com/Teatro-Ju%C3%A1rez-195773027103843/about/","teatrojuarezlapaz@gmail.com",-110.31513,24.1621,"http://sic.gob.mx/ficha.php?table=teatro&table_id=300","2016-12-15 13:58:53-06"
12,"Teatro de la Ciudad de La Paz","1987-01-01","Instituto Sudcaliforniano de Cultura",3,"Baja California Sur",3,"La Paz",1,"La Paz","Navarro s/n esq. Altamirano y Héroes de Independencia","Centro","23000","(612) 125 02 07","","teatrolapaz@hotmail.com",0,0,"http://sic.gob.mx/ficha.php?table=teatro&table_id=12","2016-12-15 13:51:50-06"
17,"Teatro Cine General Manuel Márquez de León","1944-02-05","Patronato del Teatro Manuel Márquez de León, A.C.",3,"Baja California Sur",3,"La Paz",3,"Todos Santos","Legaspy s/n esq. Gral. Márquez de León e Hidalgo","Centro","23300","(612) 145 10 83","","teatro44@hotmail.com",-110.32415,24.15427,"http://sic.gob.mx/ficha.php?table=teatro&table_id=17","2016-07-12 16:10:29-05"
969,"La Circo","1000-01-01","",3,"Baja California Sur",8,"Los Cabos",1,"San José del Cabo","Angela Ceseña s/n entre Barlovento y Carr. Transpeninsular","","23407","624 182 16 14","","lacircoac@gmail.com",-109.70396,23.06679,"http://sic.gob.mx/ficha.php?table=teatro&table_id=969","2020-05-15 13:02:10-05"
909,"Teatro Pabellón Cultural de la República Nabor García Aguirre","2011-03-31","Instituto de la Cultura y las Artes del Municipio de Los Cabos",3,"Baja California Sur",8,"Los Cabos",1,"San José del Cabo","Bvld. Marina Lote 8","Centro","23450","(624	) 243-17-07","https://www.facebook.com/PabellonCulturalDeLaRepublica/","pabellon_cultural@hotmail.com.mx",-109.9121,22.87963,"http://sic.gob.mx/ficha.php?table=teatro&table_id=909","2018-02-13 09:45:46-06"
623,"Teatro Miguel Lomelí Ceseña (Cerrado por remodelación)","2007-03-19","Ayuntamiento de Los Cabos/Instituto de Cultura de Los Cabos",3,"Baja California Sur",8,"Los Cabos",1,"San José del Cabo","Zaragoza esq. Guerrero","Centro","23400","(624) 142 23 29","","espacioculturaloscabos@hotmail.com",-109.69831,23.06161,"http://sic.gob.mx/ficha.php?table=teatro&table_id=623","2017-03-11 19:01:25-06"
834,"Foro de la Casa de Cultura Alfredo Green González","1974-01-01","Ayuntamiento de Los Cabos",3,"Baja California Sur",8,"Los Cabos",1,"San José del Cabo","Blvd. Mijares 1413 esq. Álvaro Obregón","Centro","23400","(624) 146 98 36 ","https://www.facebook.com/pages/Casa-De-La-Cultura-Alfredo-Green-Gonzalez/171855542869550?fref=ts","maridi72@hotmail.com",-109.69455,23.06303,"http://sic.gob.mx/ficha.php?table=teatro&table_id=834","2016-12-15 13:41:03-06"
304,"Teatro IMSS-SNTSS Campeche Teatro 401 Lic. Ignacio García Téllez","1967-07-27","Instituto Mexicano del Seguro Social (IMSS)",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Av. López Mateos s/n esq. Talamantes","Centro","24000","(981) 811 22 11","","luis.santamariav@imss.gob.mx",-90.53851,19.83907,"http://sic.gob.mx/ficha.php?table=teatro&table_id=304","2018-07-04 08:55:05-05"
387,"Teatro de la Ciudad Francisco de Paula Toro","1834-09-15","Ayuntamiento de Campeche",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Calle 12 núm. 139  entre 51 y 53","Centro Histórico","24000","(981) 811 36 53","","damy.9127@hotmail.com",-90.53461,19.84549,"http://sic.gob.mx/ficha.php?table=teatro&table_id=387","2018-06-29 05:54:52-05"
266,"Teatro Ing. Ricardo Hernández Cárdenas","1957-01-01","Instituto Campechano Gobierno del Estado de Campeche",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Calle 10 núm. 357 entre 63 y 65","Centro","24000","(981) 816 24 80 exts. 108,124","","jmalcocer@hotmail.com",-90.54006,19.84377,"http://sic.gob.mx/ficha.php?table=teatro&table_id=266","2018-07-04 09:23:02-05"
774,"Teatro Manuel Ávila Cano","2011-12-02","Secretaría de Cultura de Campeche",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Calle 12 núm. 173 entre 59 y 61 ","Centro","24000","(981) 816 29 57","http://www.culturacampeche.com","elclaustro@hotmail.com",-90.53775,19.84408,"http://sic.gob.mx/ficha.php?table=teatro&table_id=774","2018-08-06 07:21:12-05"
293,"Cine – Teatro Universitario Joaquín Lanz","1967-07-01","Universidad Autónoma de Campeche",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Av. Agustín Melgar s/n esq. Juan de la Barrera y Calle 20","Col. Buenavista","24039","98 1160 2618","https://culturauac.uacam.mx/view/paginas/10","japortil@uacam.mx",-90.55774,19.83046,"http://sic.gob.mx/ficha.php?table=teatro&table_id=293","2021-01-19 07:33:03-06"
267,"Teatro Juan de la Cabada","1989-01-01","Instituto de Cultura de Campeche",4,"Campeche",2,"Campeche",1,"San Francisco de Campeche","Av. 16 de Septiembre s/n y calle  53","Centro","24000","(981) 811 00 08","http://www.culturacampeche.com/","",-90.53655,19.84763,"http://sic.gob.mx/ficha.php?table=teatro&table_id=267","2016-12-27 15:08:08-06"
302,"Teatro Carmelita","1997-01-01","Ayuntamiento del Carmen",4,"Campeche",3,"Carmen",1,"Ciudad del Carmen","Calle 26-A","Centro","24100","(938) 382 62 10","","antoniorccr@gmail.com; fela_glez@gmail.com",-91.83498,18.63912,"http://sic.gob.mx/ficha.php?table=teatro&table_id=302","2016-07-26 15:12:51-05"
773,"Teatro al aire libre Francisco Gabilondo Soler","1986-07-15","Ayuntamiento del Carmen",4,"Campeche",3,"Carmen",1,"Ciudad del Carmen","Int. Zoológico Municipal<br>Av. Heroes del 21 de Abril s/n","Col. Playa Norte","24100","(938) 382 13 87 ext. 2650","","payaso_chiflon@outllok.com; payaso_chiflon@hotmail.com",-91.83847,18.65915,"http://sic.gob.mx/ficha.php?table=teatro&table_id=773","2016-12-27 15:12:32-06"
153,"Teatro del Centro Cultural Universitario","1991-01-01","Universidad Autónoma del Carmen",4,"Campeche",3,"Carmen",1,"Ciudad del Carmen","Calle 31 s/n x 28","Centro","24100","(938) 382 78 16","","",-91.83459,18.63859,"http://sic.gob.mx/ficha.php?table=teatro&table_id=153","2017-03-15 10:56:53-06"
260,"Teatro Auditorio Miguel Zepeda García","1967-07-27","Universidad Autónoma del Carmen",4,"Campeche",3,"Carmen",1,"Ciudad del Carmen","Calle 31 s/n esq. Calle 28","Centro","24100","(938) 382 78 16","http://www.unacar.mx/","jvergara@delfin.unacar.mx",-91.83403,18.63811,"http://sic.gob.mx/ficha.php?table=teatro&table_id=260","2016-10-31 11:51:19-06"
790,"Teatro de la Ciudad Virgilio Barrera Vega","2007-05-01","Ayuntamiento de Champotón",4,"Campeche",4,"Champotón",1,"Champotón","Calle 32 s/n entre 25 y 27","Centro","24400","982 828 03 43 ","http://www.champoton.gob.mx","municipio@champoton.gob.mx",-90.72333,19.35565,"http://sic.gob.mx/ficha.php?table=teatro&table_id=790","2021-08-13 10:58:50-05"
917,"Cine Teatro Morón","1000-01-01","",4,"Campeche",7,"Palizada",1,"Palizada","","","","","","",0,0,"http://sic.gob.mx/ficha.php?table=teatro&table_id=917","2017-07-14 12:59:54-05"
258,"Teatro Lic. Evaristo Pérez Arreola","1992-09-08","Municipio de Acuña",5,"Coahuila de Zaragoza",2,"Acuña",1,"Ciudad Acuña","Manuel Acuña s/n esq. Iturbide","Centro","26200","877 772 61 30","","",-100.93679,29.31573,"http://sic.gob.mx/ficha.php?table=teatro&table_id=258","2021-09-03 09:31:55-05"
257,"Teatro IMSS Monclova","1962-11-22","Instituto Mexicano del Seguro Social (IMSS)",5,"Coahuila de Zaragoza",18,"Monclova",1,"Monclova","Blvd. Harold R. Pape 405","Col. Guadalupe","25750","(866) 633 58 11 ext  41393","","luis.sanmiguel@imss.gob.mx",-101.42963,26.90253,"http://sic.gob.mx/ficha.php?table=teatro&table_id=257","2017-01-06 16:18:31-06"
667,"Teatro de la Ciudad","2010-02-10","Universidad Autónoma de Coahuila/Coordinación General de Difusión y Patrimonio Cultural",5,"Coahuila de Zaragoza",18,"Monclova",1,"Monclova","Carretera 57, Monclova-Piedras Negras, Km.5","Estancias San Juan Bautista","25710","(866) 639 08 79","","ismaeldiazga@gmail.com",-101.41427,26.94375,"http://sic.gob.mx/ficha.php?table=teatro&table_id=667","2016-07-28 15:43:49-05"
687,"Teatro de Cámara del Teatro de la Ciudad de Monclova","2010-02-11","Universidad Autónoma de Coahuila/Coordinación General de Difusión y Patrimonio Cultural",5,"Coahuila de Zaragoza",18,"Monclova",1,"Monclova","Blvd. Pape s/n","Estancias de Santa Ana","25710","(866) 639 08 79","","ismaeldiazga@gmail.com",-101.41404,26.944,"http://sic.gob.mx/ficha.php?table=teatro&table_id=687","2017-01-09 11:23:08-06"
276,"Teatro Juárez","1972-01-01","Presidencia Municipal",5,"Coahuila de Zaragoza",24,"Parras",1,"Parras de la Fuente","H. Colegio Militar s/n","Zona Centro","27980","(842) 422 00 14 ext. 111","","",-102.18278,25.43806,"http://sic.gob.mx/ficha.php?table=teatro&table_id=276","2017-01-06 14:43:01-06"
133,"Teatro IMSS Piedras Negras","1970-04-06","Instituto Mexicano del Seguro Social (IMSS)",5,"Coahuila de Zaragoza",25,"Piedras Negras",1,"Piedras Negras","Blvd. Eliseo Mendoza Berrueto 3701","Col. Las Delicias","26070","(878) 783 07 64","","francisco.gonzalezm@imss.gob.mx",-100.54668,28.67623,"http://sic.gob.mx/ficha.php?table=teatro&table_id=133","2017-01-06 16:52:59-06"
284,"Teatro al Aire Libre (Concha Acústica) Macroplaza","1969-10-31","Ayuntamiento de Piedras Negras",5,"Coahuila de Zaragoza",25,"Piedras Negras",1,"Piedras Negras","16 de Septiembre y Av. Monterrey","Centro","26010","(878) 792 51 08","","",-100.52922,28.70834,"http://sic.gob.mx/ficha.php?table=teatro&table_id=284","2017-02-17 11:58:30-06"
746,"Teatro de la Ciudad José Manuel Maldonado","2011-12-03","Ayuntamiento de Piedras Negras",5,"Coahuila de Zaragoza",25,"Piedras Negras",1,"Piedras Negras","Prol. Blvd. República 306","Fracc. El Lago","26069","878 782 66 66 ext. 1040, 1011","http://www.piedrasnegras.gob.mx/category/teatro-jose-manuel-maldonado/","karlacantu28@gmail.com",-100.56271,28.70552,"http://sic.gob.mx/ficha.php?table=teatro&table_id=746","2021-10-05 12:50:29-05"
894,"Auditorio del Centro Cultural Multimedia 2000","1000-01-01","",5,"Coahuila de Zaragoza",25,"Piedras Negras",1,"Piedras Negras","Av. Jardín 606 ","Fraccionamiento La Fuente","","878 783 7650","","",-100.56174,28.70622,"http://sic.gob.mx/ficha.php?table=teatro&table_id=894","2021-01-19 06:58:05-06"
995,"Teatro de la Ciudad Eulalio Gutiérrez","2019-12-01","",5,"Coahuila de Zaragoza",27,"Ramos Arizpe",1,"Ramos Arizpe","Dr. David Martínez Soto 101","Col. Eulalio Gutiérrez","25900","844 488 0707","","aaron-lopez@hotmail.es",-100.94641,25.53933,"http://sic.gob.mx/ficha.php?table=teatro&table_id=995","2021-03-23 07:46:20-06"
200,"Concha Acústica de la Casa del Artesano","1987-01-01","Instituto Coahuilense de Cultura",5,"Coahuila de Zaragoza",30,"Saltillo",1,"Saltillo","Miguel Hidalgo Sur  359","Centro","25000","(844) 414 39 58","","(844) 414 39 58",-101.00081,25.41916,"http://sic.gob.mx/ficha.php?table=teatro&table_id=200","2017-01-09 11:28:04-06"
